dataset_name,file_name,category,file_type,crs,spatial_extent,geometry_type,feature_or_row_count,raster_resolution,raster_bands,rainfall_columns_and_timestamps,missing_values,duplicate_records,available_attributes,status,notes
Chennai Rainfall Telemetry,Chennai rainfall.csv,METEOROLOGICAL,CSV,N/A (Station names geocoded via GCC / IMD coordinates),Greater Chennai Corporation (62 stations),Tabular / Point Locations,21416,N/A,N/A,"Cols: ['District', 'Station', 'Rainfall', 'Date']; Dates: 01-01-2012 to 31-12-2021 (Daily DD-MM-YYYY)","{'District': 0, 'Station': 0, 'Rainfall': 0, 'Date': 0}",1361,"District, Station, Rainfall, Date",VALID - PROCESSED,Daily precipitation records across 62 stations from 1993 to 2023 used for daily IDW interpolation.
Copernicus GLO-30 Digital Elevation Model,Chennai_Copernicus_GLO30_DEM.tif,TOPOGRAPHY,GeoTIFF,EPSG:4326,"[79.5999, 12.6001, 80.6999, 13.5001]",Raster,3240x3960 pixels,0.000278 deg (~30m),1,N/A,Nodata: None,0,elevation (m above MSL),VALID - PROCESSED,"High-resolution 30m terrain model for elevation, slope, and saucer depression index."
SoilGrids Clay Content (0-5 cm),Chennai_SoilGrids_Clay_0_5cm.tif,EDAPHIC / SOIL,GeoTIFF,EPSG:4326,"[79.5997, 12.5989, 80.7002, 13.5017]",Raster,402x490 pixels,0.002246 deg (~250m),1,N/A,Nodata: None,0,clay content (g/kg mass fraction),VALID - PROCESSED,ISRIC SoilGrids 2.0 clay fraction; governs hydraulic conductivity and infiltration capacity.
ESA WorldCover 2021 (10m v200),Chennai_WorldCover_2021_v200.zip,LAND_COVER,GeoTIFF in ZIP,EPSG:4326,"[78.0, 12.0, 81.0, 15.0]",Raster,36000x36000 pixels,0.000083 deg (~10m),1,N/A,Nodata: 0.0,0,"land_cover_class (10=Tree, 20=Shrub, 30=Grass, 40=Crop, 50=Built-up, 80=Water)",VALID - PROCESSED,"10m global land cover used for built-up ratio, impervious surface fraction, and vegetation cover."
Chennai Inundation Depth,FloodWatch_Clean_GeoJSON.zip/Chennai_Inundation_Depth.geojson,INUNDATION_GROUND_TRUTH,GeoJSON in ZIP,EPSG:4326,"[np.float64(80.1674), np.float64(12.9114), np.float64(80.2611), np.float64(13.1646)]",Point,192,Vector (sub-meter),N/A,N/A,Empty geometries: 0,0,geometry only,VALID - PROCESSED,Observed inundation points (point coordinates; properties dictionary is empty; continuous depth absent).
Chennai Basin Macro Drains,FloodWatch_Clean_GeoJSON.zip/Chennai_Basin_Macro_Drains.geojson,DRAINAGE,GeoJSON in ZIP,EPSG:4326,"[np.float64(80.084), np.float64(12.9201), np.float64(80.2729), np.float64(13.2655)]",LineString,15,Vector (sub-meter),N/A,N/A,Empty geometries: 0,0,name,VALID - PROCESSED,Major primary municipal basin drainage canals.
Chennai Buckingham Canal,FloodWatch_Clean_GeoJSON.zip/Chennai_Buckingham_Canal.geojson,DRAINAGE,GeoJSON in ZIP,EPSG:4326,"[np.float64(80.1724), np.float64(12.5834), np.float64(80.3303), np.float64(13.3084)]","LineString, GeometryCollection",5,Vector (sub-meter),N/A,N/A,Empty geometries: 0,0,name,VALID - PROCESSED,Historic tidal navigation / drainage canal corridor.
Chennai Basin Micro Drains,FloodWatch_Clean_GeoJSON.zip/Chennai_Basin_Micro_Drains.geojson,DRAINAGE,GeoJSON in ZIP,EPSG:4326,"[np.float64(80.1306), np.float64(12.8727), np.float64(80.3248), np.float64(13.2292)]","LineString, GeometryCollection",37,Vector (sub-meter),N/A,N/A,Empty geometries: 0,0,name,VALID - PROCESSED,Secondary feeder drains.
Chennai Basin Rivers Streams,FloodWatch_Clean_GeoJSON.zip/Chennai_Basin_Rivers_Streams.geojson,DRAINAGE,GeoJSON in ZIP,EPSG:4326,"[np.float64(79.2718), np.float64(12.5572), np.float64(80.3316), np.float64(13.3845)]","LineString, GeometryCollection",876,Vector (sub-meter),N/A,N/A,Empty geometries: 0,1,name,VALID - PROCESSED,"Adyar, Cooum, Kosasthalaiyar rivers and tributary streams."
Chennai Flooding Points 2015,FloodWatch_Clean_GeoJSON.zip/Chennai_Flooding_Points_2015.geojson,FLOOD_GROUND_TRUTH,GeoJSON in ZIP,EPSG:4326,"[np.float64(80.1425), np.float64(12.873), np.float64(80.3248), np.float64(13.2256)]",Point,753,Vector (sub-meter),N/A,N/A,Empty geometries: 0,0,name,VALID - PROCESSED,Ground-truth flood inundation points from the December 2015 Chennai flood disaster.
Chennai Storm Water Drains 2023,FloodWatch_Clean_GeoJSON.zip/Chennai_Storm_Water_Drains_2023.geojson,DRAINAGE,GeoJSON in ZIP,EPSG:4326,"[np.float64(80.1326), np.float64(12.862), np.float64(80.3279), np.float64(13.2303)]","LineString, GeometryCollection",10255,Vector (sub-meter),N/A,N/A,Empty geometries: 0,0,geometry only,VALID - PROCESSED,Comprehensive GCC Storm Water Drain (SWD) network (2023 updated).
Chennai Krishna Water Canal,FloodWatch_Clean_GeoJSON.zip/Chennai_Krishna_Water_Canal.geojson,DRAINAGE,GeoJSON in ZIP,EPSG:4326,"[np.float64(79.8601), np.float64(13.2119), np.float64(79.9326), np.float64(13.3598)]",GeometryCollection,1,Vector (sub-meter),N/A,N/A,Empty geometries: 0,0,name,SKIPPED - REMOVED (LEAKAGE),Located 18.2 km outside study area; 0.78 correlation with latitude (spatial proxy leakage). Excluded from feature matrix.
Chennai Critical Infrastructure (OSM),Chennai_Critical_Infrastructure_OSM.geojson,INFRASTRUCTURE,GeoJSON,EPSG:4326,"[np.float64(79.6048), np.float64(12.6036), np.float64(80.3272), np.float64(13.4473)]",Point,1973,Vector Point,N/A,N/A,Null amenities: 0,0,"amenity types: {'hospital': 1089, 'clinic': 722, 'police': 145, 'fire_station': 17}",VALID - PROCESSED,"Hospitals (1089), Clinics (722), Police (145), Fire Stations (17) in Chennai."
Microsoft Building Footprints (123312201),Chennai_Building_Footprints_Microsoft_GML_123312201.csv.gz,BUILDINGS,GeoJSON Lines (GZIP),EPSG:4326,Chennai Metropolitan Area,Polygon,17321,Vector Polygon,N/A,N/A,None,0,"geometry, height, confidence",VALID - PROCESSED,Part of Microsoft Bing Building Footprints dataset for Chennai (QuadKey tile 123312201).
Microsoft Building Footprints (123312203),Chennai_Building_Footprints_Microsoft_GML_123312203.csv.gz,BUILDINGS,GeoJSON Lines (GZIP),EPSG:4326,Chennai Metropolitan Area,Polygon,19878,Vector Polygon,N/A,N/A,None,0,"geometry, height, confidence",VALID - PROCESSED,Part of Microsoft Bing Building Footprints dataset for Chennai (QuadKey tile 123312203).
Microsoft Building Footprints (123312210),Chennai_Building_Footprints_Microsoft_GML_123312210.csv.gz,BUILDINGS,GeoJSON Lines (GZIP),EPSG:4326,Chennai Metropolitan Area,Polygon,347026,Vector Polygon,N/A,N/A,None,0,"geometry, height, confidence",VALID - PROCESSED,Part of Microsoft Bing Building Footprints dataset for Chennai (QuadKey tile 123312210).
Microsoft Building Footprints (123312212),Chennai_Building_Footprints_Microsoft_GML_123312212.csv.gz,BUILDINGS,GeoJSON Lines (GZIP),EPSG:4326,Chennai Metropolitan Area,Polygon,485261,Vector Polygon,N/A,N/A,None,0,"geometry, height, confidence",VALID - PROCESSED,Part of Microsoft Bing Building Footprints dataset for Chennai (QuadKey tile 123312212).
Chennai Storm Water Drains (Uncleaned KML),Chennai Storm Water Drains - SWD - Map 2023.kml,DRAINAGE,KML,EPSG:4326,Unknown (Corrupt WKB parser exception in GCC SWDs layer),Corrupt WKB,0,N/A,N/A,N/A,Truncated WKB / invalid file ending,0,N/A,SKIPPED - CORRUPT,"Replaced by the cleaned, verified GeoJSON version (Chennai_Storm_Water_Drains_2023.geojson) in FloodWatch_Clean_GeoJSON.zip (10,255 features)."
Chennai OSM Road Network,N/A (Missing in Data/raw/),ROADS,GeoJSON / Vector,N/A,N/A,N/A,0,N/A,N/A,N/A,Dataset absent from repository raw directory,0,N/A,SKIPPED - ABSENT,Dataset expected per problem description but missing from Data/raw/ (only Mumbai roads exist). Road density/distance features omitted from ML matrix to prevent data fabrication.
Doppler Weather Radar (DWR) Feed,N/A (Future Interface),RADAR_NOWCASTING,Binary / HDF5 / NetCDF,N/A,Chennai Radar Coverage Area,Gridded / Polar,0,N/A,N/A,N/A,No telemetry present,0,N/A,FUTURE - SPECIFIED,Prospective high-frequency QPE/QPF interface specified in Data/docs/RADAR_NOWCAST_SCHEMA.md. No radar data currently present.
Dynamic Drainage Telemetry & Hydraulics,N/A (Future Interface),HYDRAULICS,SCADA / SWMM INP,N/A,GCC Drainage Basins,Graph Network,0,N/A,N/A,N/A,No telemetry present,0,N/A,FUTURE - SPECIFIED,Prospective 1D/2D hydraulic coupling schema specified in Data/docs/DRAINAGE_HYDRAULIC_SCHEMA.md. Dynamic hydraulic simulation not executed.
