grid_id,date,latitude,longitude,x_utm,y_utm,rainfall_daily_mm,rainfall_cum_2d_mm,rainfall_cum_3d_mm,rainfall_cum_7d_mm,rainfall_delta_mm,elevation_m,slope_deg,low_lying_score,built_up_ratio,water_ratio,vegetation_ratio,worldcover_class,soil_clay_0_5cm,dist_to_swd_m,dist_to_macro_drain_m,dist_to_micro_drain_m,dist_to_river_stream_m,dist_to_buckingham_canal_m,dist_to_krishna_water_canal_m,drainage_density_m_per_km2,building_count,building_area_m2,dist_to_hospital_m,hospital_count_1km,dist_to_fire_station_m,dist_to_police_m,flood_occurred
CHN_G0112,2015-10-01,12.859722,80.223538,415750.0,1421750.0,2.31,2.38,3.15,31.0,2.23,3.41,0.8,0.654,0.214,0.041,0.733,30,280.0,563.7,6799.7,2443.7,196.5,1373.9,54842.8,0.0,0,0.0,1193.9,0,12961.8,4442.9,0
CHN_G1209,2015-11-15,12.977335,80.246224,418250.0,1434750.0,14.72,16.98,152.32,415.01,12.45,3.88,1.35,0.811,0.713,0.0,0.286,50,60.0,37.4,5860.1,3284.0,1605.5,775.4,46989.6,4017.0,291,48232.1,904.6,1,2017.0,1537.0,1
CHN_G0125,2015-10-01,12.859892,80.283439,422250.0,1421750.0,2.45,2.53,3.25,30.89,2.38,0.0,0.0,0.582,0.0,1.0,0.0,80,103.0,4466.8,8245.8,8227.4,5730.2,4768.2,59057.3,0.0,0,0.0,6622.7,0,14281.9,7493.0,0
CHN_G1634,2015-11-15,13.02261,80.269142,420750.0,1439750.0,14.91,16.5,157.13,404.55,13.33,9.68,3.51,0.422,0.482,0.075,0.444,50,213.0,44.5,6645.7,2998.0,203.6,1083.8,45789.4,5555.1,539,68245.2,305.1,11,2433.1,243.8,1
CHN_G1328,2015-11-15,12.990802,80.213912,414750.0,1436250.0,14.49,17.94,150.08,415.36,11.03,10.8,3.42,0.672,0.849,0.111,0.039,50,17.0,37.0,5243.6,39.5,624.2,3923.3,43407.3,6047.4,0,0.0,274.4,8,2143.6,989.8,1
CHN_G0145,2015-10-01,12.864116,80.182053,411250.0,1422250.0,2.24,2.32,3.11,31.05,2.16,6.25,0.42,0.725,0.013,0.0,0.987,30,324.0,3055.5,8278.7,2353.0,59.9,5848.8,51409.8,0.0,105,21715.1,2570.4,0,10246.2,3699.5,0
CHN_G0128,2015-10-01,12.86386,80.103721,402750.0,1422250.0,2.36,2.44,3.19,30.96,2.29,31.32,0.35,0.694,0.485,0.0,0.515,50,291.0,11116.0,6893.1,10696.0,518.7,14277.4,46236.9,0.0,0,0.0,3513.3,0,9399.6,6880.5,0
CHN_G1453,2015-11-15,13.004351,80.209259,414250.0,1437750.0,14.47,17.98,150.28,415.74,10.95,11.26,1.35,0.767,0.87,0.0,0.128,50,307.0,36.3,4960.8,530.8,1616.0,4183.7,42013.9,10664.8,0,0.0,297.6,9,3636.0,574.7,1
CHN_G1202,2015-11-15,12.977239,80.213955,414750.0,1434750.0,14.3,18.7,149.61,414.52,9.9,7.79,2.97,0.597,0.991,0.0,0.009,50,20.0,57.0,5467.0,544.6,544.2,4221.2,44459.7,9442.4,163,13727.1,292.4,12,1484.3,859.7,1
CHN_G0201,2015-10-01,12.868831,80.24655,418250.0,1422750.0,2.33,2.4,3.17,30.98,2.25,4.89,1.05,0.465,0.705,0.0,0.292,50,194.0,344.7,5784.8,4110.7,2310.0,684.2,55666.2,0.0,127,29917.1,2521.7,0,12121.7,3987.6,0
