grid_id,x_utm,y_utm,longitude,latitude,elevation_m,slope_deg,low_lying_score,soil_clay_0_5cm,built_up_ratio,water_ratio,vegetation_ratio,worldcover_class,dist_to_swd_m,dist_to_macro_drain_m,dist_to_micro_drain_m,dist_to_river_stream_m,dist_to_buckingham_canal_m,dist_to_krishna_water_canal_m,drainage_density_m_per_km2,building_count,building_area_m2,dist_to_hospital_m,hospital_count_1km,dist_to_police_m,dist_to_fire_station_m
CHN_G0001,402250.0,1420750.0,80.099162,12.850282,33.57,0.69,0.695,304.0,0.0,0.0,1.0,10,12115.7,8318.0,11419.2,1072.6,14729.8,47229.9,0.0,0,0.0,4130.2,0,8442.4,10979.9
CHN_G0002,402750.0,1420750.0,80.103769,12.850298,35.24,1.89,0.597,297.0,0.0,0.0,0.998,10,11629.3,8374.5,10931.4,632.4,14229.9,47496.1,0.0,0,0.0,3649.8,0,8366.9,10818.4
CHN_G0003,403250.0,1420750.0,80.108377,12.850314,29.09,0.66,0.946,41.0,0.001,0.001,0.991,10,11144.0,8460.3,10444.7,135.9,13730.0,47766.0,0.0,0,0.0,3175.4,0,8320.8,10677.8
CHN_G0004,403750.0,1420750.0,80.112984,12.850329,21.49,11.73,1.0,309.0,0.027,0.171,0.67,30,10660.1,8574.4,9959.3,250.4,13230.1,48039.6,0.0,0,0.0,2710.3,0,8304.6,10559.1
CHN_G0005,404250.0,1420750.0,80.117592,12.850345,33.43,0.58,0.66,276.0,0.226,0.0,0.74,10,10177.8,8715.7,9475.4,728.1,12730.2,48316.9,0.0,0,0.0,2260.1,0,8254.6,10462.9
CHN_G0006,404750.0,1420750.0,80.122199,12.85036,34.41,2.44,0.533,272.0,0.101,0.0,0.899,10,9697.2,8883.0,8993.3,462.8,12230.2,48597.6,0.0,0,0.0,1835.9,0,8151.5,10389.9
CHN_G0007,405250.0,1420750.0,80.126807,12.850376,28.77,1.78,0.83,319.0,0.108,0.034,0.856,10,9218.6,9059.8,8513.2,221.1,11730.3,48881.9,0.0,0,0.0,1410.1,0,7970.2,10340.7
CHN_G0008,405750.0,1420750.0,80.131414,12.850391,24.26,0.35,1.0,320.0,0.016,0.0,0.984,10,8742.4,9257.7,8035.6,483.0,11230.4,49169.7,0.0,0,0.0,912.6,2,7598.2,10315.4
CHN_G0009,406250.0,1420750.0,80.136022,12.850406,23.66,1.09,0.919,327.0,0.104,0.0,0.896,10,8267.3,9477.9,7560.9,958.0,10730.5,49460.8,0.0,0,0.0,421.1,2,7241.7,10314.4
CHN_G0010,406750.0,1420750.0,80.140629,12.850421,29.3,2.83,0.388,150.0,0.696,0.0,0.301,50,7795.3,9718.9,7089.7,749.6,10230.6,49755.2,0.0,0,0.0,44.6,2,6903.0,10337.5
CHN_G0011,407250.0,1420750.0,80.145237,12.850436,24.18,3.56,0.533,324.0,0.181,0.0,0.797,10,7327.0,9979.1,6622.6,801.7,9730.7,50052.9,0.0,0,0.0,531.7,2,6584.9,10384.7
CHN_G0012,407750.0,1420750.0,80.149844,12.850451,20.76,0.75,0.618,314.0,0.049,0.0,0.95,40,6861.1,10257.1,6160.8,1103.9,9230.8,50353.8,0.0,0,0.0,1031.2,0,6290.5,10455.7
CHN_G0013,408250.0,1420750.0,80.154452,12.850466,17.84,0.73,0.652,294.0,0.002,0.0,0.998,40,6396.1,10551.5,5705.4,1007.1,8730.8,50657.9,0.0,0,0.0,1531.1,0,6023.2,10549.9
CHN_G0014,408750.0,1420750.0,80.159059,12.850481,13.06,0.31,0.786,300.0,0.0,0.813,0.173,80,5936.8,10860.9,5258.1,650.3,8230.9,50965.0,0.0,0,0.0,2031.0,0,5786.9,10666.7
