grid_id,locality,timestamp,hour_of_day,centroid_lat,centroid_lon,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_24h,rainfall_intensity_change,elevation_m,slope_deg,low_lying_score,dist_to_drain_m,drainage_density,dist_to_mithi_m,dist_to_coast_m,historical_hotspot_score,built_up_ratio,flood_event,target_plus_1h,target_plus_3h
MUM_000001,Colaba / Fort,2024-07-15 12:00:00,12,18.897702,72.787306,8.4,12.91,21.23,48.94,4.83,7.68,2.49,0.4,9206.6,0.2,16010.4,172.9,0.0,0.725,0,0,0
MUM_000002,Colaba / Fort,2024-07-15 12:00:00,12,18.901741,72.787776,8.44,12.94,21.24,48.93,4.87,8.31,3.22,0.4,8762.1,0.2,15570.5,196.3,0.0,0.728,0,0,0
MUM_000003,Colaba / Fort,2024-07-15 12:00:00,12,18.906246,72.788047,8.45,12.95,21.24,48.93,4.87,9.39,2.35,0.4,8274.5,0.2,15089.3,161.8,0.0,0.72,0,0,0
MUM_000004,Colaba / Fort,2024-07-15 12:00:00,12,18.910743,72.788317,8.42,12.93,21.24,48.95,4.84,20.94,3.44,0.4,7789.2,0.2,14610.1,127.4,0.0,0.798,0,0,0
MUM_000005,Colaba / Fort,2024-07-15 12:00:00,12,18.915224,72.788587,8.34,12.88,21.24,48.99,4.77,16.97,3.64,0.4,7307.5,0.2,14134.0,93.1,0.0,0.747,0,0,0
MUM_000006,Colaba / Fort,2024-07-15 12:00:00,12,18.919659,72.788854,8.23,12.8,21.24,49.05,4.66,7.03,2.53,0.4,6833.0,0.2,13664.4,59.2,0.0,0.79,0,0,0
MUM_000007,Mumbai Central,2024-07-15 12:00:00,12,,,,,,,,9.64,3.6,0.4,8991.3,0.2,15768.4,89.9,0.0,0.787,0,0,0
MUM_000008,Mumbai Central,2024-07-15 12:00:00,12,,,,,,,,15.65,1.35,0.4,8640.5,0.2,15420.8,388.2,0.0,0.825,0,0,0
MUM_000009,Colaba / Fort,2024-07-15 12:00:00,12,18.898708,72.791572,8.58,13.05,21.25,48.87,5.01,9.76,3.05,0.4,8154.9,0.2,14945.5,569.9,0.0,0.83,0,0,0
MUM_000010,Colaba / Fort,2024-07-15 12:00:00,12,18.901858,72.792027,8.63,13.08,21.25,48.85,5.05,7.76,2.34,0.4,7671.1,0.2,14471.8,500.8,0.0,0.78,0,0,0
MUM_000011,Colaba / Fort,2024-07-15 12:00:00,12,18.906373,72.791968,8.62,13.08,21.26,48.86,5.04,20.49,2.85,0.4,7189.6,0.2,14000.0,431.7,0.0,0.77,0,0,0
MUM_000012,Colaba / Fort,2024-07-15 12:00:00,12,18.910889,72.791909,8.58,13.05,21.26,48.88,5.0,13.58,3.88,0.4,6710.7,0.2,13530.2,362.5,0.0,0.794,0,0,0
MUM_000013,Colaba / Fort,2024-07-15 12:00:00,12,18.915405,72.791849,8.49,12.99,21.25,48.93,4.91,18.19,2.03,0.4,6235.2,0.2,13062.6,293.4,0.0,0.828,0,0,0
MUM_000014,Colaba / Fort,2024-07-15 12:00:00,12,18.91992,72.79179,8.35,12.89,21.25,49.0,4.78,14.25,3.79,0.4,5765.0,0.2,12598.3,236.8,0.0,0.804,0,0,0
MUM_000015,Colaba / Fort,2024-07-15 12:00:00,12,18.924436,72.791731,8.17,12.76,21.24,49.1,4.6,16.07,3.58,0.4,5287.0,0.2,12123.9,201.8,0.0,0.813,0,0,0
MUM_000016,Colaba / Fort,2024-07-15 12:00:00,12,18.928901,72.791785,7.95,12.61,21.24,49.21,4.38,15.32,2.14,0.4,4813.3,0.2,11651.5,167.4,0.0,0.733,0,0,0
MUM_000017,Colaba / Fort,2024-07-15 12:00:00,12,18.933407,72.792051,7.7,12.45,21.24,49.35,4.14,10.53,3.43,0.4,4346.1,0.2,11182.1,133.0,0.0,0.76,0,0,0
