grid_id,locality,centroid_lat,centroid_lon,area_sqkm,elevation_m,slope_deg,low_lying_score,dist_to_drain_m,drainage_density,dist_to_mithi_m,dist_to_coast_m,dist_to_hotspot_m,historical_hotspot_score,built_up_ratio
MUM_000001,Colaba / Fort,18.897702,72.787306,0.1781,7.68,2.49,0.4,9206.6,0.2,16010.4,172.9,13990.4,0.0,0.725
MUM_000002,Colaba / Fort,18.901741,72.787776,0.1976,8.31,3.22,0.4,8762.1,0.2,15570.5,196.3,13564.2,0.0,0.728
MUM_000003,Colaba / Fort,18.906246,72.788047,0.1627,9.39,2.35,0.4,8274.5,0.2,15089.3,161.8,13102.3,0.0,0.72
MUM_000004,Colaba / Fort,18.910743,72.788317,0.1278,20.94,3.44,0.4,7789.2,0.2,14610.1,127.4,12644.1,0.0,0.798
MUM_000005,Colaba / Fort,18.915224,72.788587,0.0929,16.97,3.64,0.4,7307.5,0.2,14134.0,93.1,12190.8,0.0,0.747
MUM_000006,Colaba / Fort,18.919659,72.788854,0.058,7.03,2.53,0.4,6833.0,0.2,13664.4,59.2,11745.6,0.0,0.79
MUM_000007,Mumbai Central,,,0.0867,9.64,3.6,0.4,8991.3,0.2,15768.4,89.9,13706.1,0.0,0.787
MUM_000008,Mumbai Central,,,0.25,15.65,1.35,0.4,8640.5,0.2,15420.8,388.2,13367.0,0.0,0.825
MUM_000009,Colaba / Fort,18.898708,72.791572,0.25,9.76,3.05,0.4,8154.9,0.2,14945.5,569.9,12912.9,0.0,0.83
MUM_000010,Colaba / Fort,18.901858,72.792027,0.25,7.76,2.34,0.4,7671.1,0.2,14471.8,500.8,12462.4,0.0,0.78
MUM_000011,Colaba / Fort,18.906373,72.791968,0.25,20.49,2.85,0.4,7189.6,0.2,14000.0,431.7,12015.7,0.0,0.77
MUM_000012,Colaba / Fort,18.910889,72.791909,0.25,13.58,3.88,0.4,6710.7,0.2,13530.2,362.5,11573.4,0.0,0.794
MUM_000013,Colaba / Fort,18.915405,72.791849,0.25,18.19,2.03,0.4,6235.2,0.2,13062.6,293.4,11136.0,0.0,0.828
