epoch,train_loss,val_loss,H_loss,U_loss,V_loss,learning_rate,epoch_time_sec,GPU_allocated_MB,GPU_reserved_MB
1,1.573522,1.475641,1.234711,1.095256,2.096954,0.001,0.520,671.39,908.00
2,1.495744,1.408875,1.197796,1.056704,1.972125,0.001,0.138,744.43,908.00
3,1.426668,1.349385,1.162066,1.028353,1.857737,0.001,0.135,745.09,908.00
4,1.365227,1.296180,1.127972,1.008166,1.752400,0.001,0.134,745.15,908.00
5,1.310250,1.248262,1.095834,0.994111,1.654842,0.001,0.135,744.30,908.00
6,1.260661,1.204782,1.065874,0.984388,1.564083,0.001,0.134,744.24,908.00
7,1.215581,1.165099,1.038290,0.977551,1.479454,0.001,0.134,745.15,908.00
8,1.174370,1.128802,1.013300,0.972519,1.400587,0.001,0.134,744.30,908.00
9,1.136632,1.095695,0.991145,0.968525,1.327415,0.001,0.134,745.09,908.00
10,1.102196,1.065762,0.972064,0.965078,1.260143,0.001,0.134,745.15,908.00
11,1.071078,1.039119,0.956259,0.961913,1.199186,0.001,0.134,744.30,908.00
12,1.043429,1.015954,0.943847,0.958920,1.145094,0.001,0.134,745.09,908.00
13,1.019463,0.996449,0.934812,0.956077,1.098459,0.001,0.134,745.15,908.00
14,0.999388,0.980717,0.928966,0.953388,1.059796,0.001,0.134,744.30,908.00
15,0.983319,0.968722,0.925926,0.950844,1.029394,0.001,0.134,745.09,908.00
16,0.971210,0.960228,0.925126,0.948407,1.007150,0.001,0.133,745.15,908.00
17,0.962791,0.954773,0.925862,0.946012,0.992444,0.001,0.134,744.30,908.00
18,0.957550,0.951698,0.927387,0.943592,0.984117,0.001,0.135,745.09,908.00
19,0.954760,0.950227,0.929016,0.941088,0.980578,0.001,0.135,745.15,908.00
20,0.953576,0.949584,0.930222,0.938473,0.980056,0.001,0.135,744.30,908.00
21,0.953162,0.949106,0.930693,0.935747,0.980877,0.001,0.135,745.09,908.00
22,0.952813,0.948320,0.930331,0.932930,0.981700,0.001,0.135,745.15,908.00
23,0.952036,0.946965,0.929217,0.930046,0.981632,0.001,0.135,744.30,908.00
24,0.950573,0.944963,0.927551,0.927109,0.980229,0.001,0.135,745.09,908.00
25,0.948366,0.942375,0.925585,0.924117,0.977422,0.001,0.135,745.15,908.00
26,0.945510,0.939341,0.923573,0.921052,0.973397,0.001,0.135,744.30,908.00
27,0.942180,0.936033,0.921729,0.917885,0.968484,0.001,0.135,745.09,908.00
28,0.938583,0.932613,0.920203,0.914584,0.963051,0.001,0.134,745.15,908.00
29,0.934905,0.929209,0.919075,0.911121,0.957432,0.001,0.134,744.30,908.00
30,0.931289,0.925903,0.918356,0.907472,0.951880,0.001,0.134,745.09,908.00
