epoch,train_total_loss,train_H_loss,train_U_loss,train_V_loss,val_total_loss,val_H_loss,val_U_loss,val_V_loss,learning_rate,epoch_seconds,gpu_memory_allocated_mb,gpu_memory_reserved_mb
1,0.012533,0.022013,0.005073,0.010515,0.007018,0.013353,0.003851,0.003848,1.000000e-03,3.24,724.21,1026.00
2,0.008323,0.015890,0.004540,0.004537,0.006746,0.012897,0.003676,0.003664,1.000000e-03,3.40,723.48,1034.00
3,0.008070,0.015443,0.004420,0.004347,0.006674,0.012777,0.003660,0.003586,1.000000e-03,2.96,723.48,1012.00
4,0.007997,0.015278,0.004403,0.004310,0.006626,0.012666,0.003650,0.003561,1.000000e-03,3.56,723.48,1012.00
5,0.007928,0.015093,0.004394,0.004297,0.006593,0.012582,0.003643,0.003552,1.000000e-03,3.62,723.48,1012.00
6,0.007873,0.014946,0.004386,0.004288,0.006551,0.012474,0.003636,0.003544,1.000000e-03,4.08,723.48,1012.00
7,0.007808,0.014769,0.004377,0.004278,0.006502,0.012344,0.003627,0.003535,1.000000e-03,4.13,723.48,1012.00
8,0.007733,0.014566,0.004367,0.004267,0.006440,0.012180,0.003616,0.003524,1.000000e-03,3.01,723.48,1012.00
9,0.007637,0.014308,0.004351,0.004253,0.006369,0.011996,0.003599,0.003512,1.000000e-03,3.18,723.48,1012.00
10,0.007518,0.013991,0.004328,0.004236,0.006319,0.011885,0.003577,0.003496,1.000000e-03,3.07,723.48,1012.00
11,0.007394,0.013669,0.004299,0.004216,0.006348,0.012010,0.003554,0.003478,1.000000e-03,4.95,723.48,1012.00
12,0.007344,0.013569,0.004269,0.004194,0.006415,0.012241,0.003538,0.003464,1.000000e-03,4.86,723.48,1012.00
13,0.007548,0.014221,0.004247,0.004175,0.006029,0.011141,0.003507,0.003439,1.000000e-03,4.11,723.48,1012.00
14,0.007088,0.012883,0.004219,0.004163,0.005802,0.010495,0.003477,0.003432,1.000000e-03,3.38,723.48,1012.00
15,0.006805,0.012086,0.004181,0.004149,0.005829,0.010624,0.003445,0.003416,1.000000e-03,3.03,723.48,1012.00
16,0.006844,0.012226,0.004165,0.004140,0.005855,0.010733,0.003421,0.003410,1.000000e-03,2.92,723.48,1012.00
17,0.007041,0.012865,0.004141,0.004118,0.005711,0.010338,0.003410,0.003384,1.000000e-03,3.14,723.48,1012.00
18,0.006629,0.011692,0.004101,0.004095,0.005612,0.010107,0.003359,0.003371,1.000000e-03,3.23,723.48,1012.00
19,0.006694,0.011958,0.004060,0.004064,0.005378,0.009433,0.003354,0.003346,1.000000e-03,4.33,723.48,1012.00
20,0.006552,0.011572,0.004047,0.004036,0.005270,0.009195,0.003303,0.003311,1.000000e-03,3.47,723.48,1012.00
21,0.006269,0.010792,0.004005,0.004011,0.005233,0.009118,0.003283,0.003299,1.000000e-03,3.59,723.48,1012.00
22,0.006604,0.011840,0.003979,0.003994,0.005274,0.009287,0.003271,0.003262,1.000000e-03,2.86,723.48,1012.00
23,0.006113,0.010475,0.003933,0.003932,0.004994,0.008584,0.003195,0.003202,1.000000e-03,2.87,723.48,1012.00
24,0.005807,0.009693,0.003857,0.003872,0.005101,0.009043,0.003124,0.003138,1.000000e-03,3.59,723.48,1012.00
25,0.006034,0.010546,0.003766,0.003789,0.005052,0.008955,0.003105,0.003095,1.000000e-03,4.59,723.48,1012.00
26,0.006071,0.010680,0.003767,0.003766,0.004861,0.008493,0.003041,0.003048,1.000000e-03,4.63,723.48,1012.00
27,0.005955,0.010455,0.003703,0.003707,0.005100,0.009274,0.003007,0.003021,1.000000e-03,2.78,723.48,1012.00
28,0.005870,0.010306,0.003664,0.003638,0.004893,0.008711,0.003001,0.002968,1.000000e-03,2.76,723.48,1012.00
29,0.005639,0.009698,0.003630,0.003590,0.004816,0.008597,0.002933,0.002918,1.000000e-03,2.79,723.48,1012.00
